interview__key	interview__id	I_0_0	I_0_1	I_0_2	I_0_3	I_0_4	GEO	geo_area	I_0_5	I_0_5_4_1	I_0_6	I_0_7	I_0_8	I_0_9	I_0_9_7_1	I_0_10	I_0_11	I_0_11_50_1	I_0_12	I_0_13	I_0_14	I_0_14_50_1	I_0_15	I_0_15_7_1	I_0_16	I_0_17	I_0_18	I_0_19	I_0_20_1_7	I_0_20_8_13	I_0_20_6_1	I_0_20_7_1	I_0_20_13_1	I_0_21	I_0_21_50_1	I_0_22	I_0_23	I_0_23_10_1	I_0_23_1	I_0_23_2	I_0_23_3	I_0_24	I_0_24_1	I_0_24_7_1	I_0_Obs	DI_1	DI_1_7_1	DI_2_1	DI_2_2	DI_2_3	DI_2_4	DI_3	DI_3_1	DI_4	DI_5_1	DI_5_2	DI_5_3	DI_5_4	DI_6_1	DI_6_2	DI_Obs	DP_7	DP_8_1	DP_8_2	DP_8_3	DP_8_4	DP_9_1	DP_10	DP_10_1	DP_11	DP_12_1	DP_12_2	DP_12_3	DP_12_4	DP_13	DP_7_2_2_1	DP_7_2_2_2	DP_7_2_2_3	DP_7_2_2_4	DP_7_2_3	DP_7_2_3_1	DP_7_2_4	DP_7_2_5_1	DP_7_2_5_2	DP_7_2_5_3	DP_7_2_5_4	DP_7_2_6_1	DP_7_2_6_2	DP_14	DP_15_1	DP_16_1	DP_16_2	DP_16_3	DP_16_4	DP_17	DP_18_1	DP_18_2	DP_18_3	DP_18_4	DP_18_5	DP_18_6	DP_18_7	DP_18_8	DP_18_9	DP_18_10	DP_18_11	DP_Obs	US_19	US_20	US_21_0	US_22	US_23	US_24_1	US_24_2	US_24_3	US_24_4	US_24_5	US_24_6	US_24_7	US_24_8	US_24_9	US_24_10	US_24_11	US_24_12	US_24_13	US_24_14	US_24_15	US_24_16	US_24_17	US_24_18	US_24_19	US_Obs	SS_25__1	SS_25__2	SS_25__3	SS_25__4	SS_25__5	SS_25__6	SS_25__7	SS_25_8__0	SS_25_8__1	SS_25_8__2	SS_25_8__3	SS_25_8__4	SS_25_8__5	SS_25_8__6	SS_25_8__7	SS_25_8__8	SS_25_8__9	SS_33__1	SS_33__2	SS_33__3	SS_33__4	SS_33__5	SS_33_5__0	SS_33_5__1	SS_33_5__2	SS_33_5__3	SS_33_5__4	SS_33_5__5	SS_33_5__6	SS_33_5__7	SS_33_5__8	SS_33_5__9	SS_33_7__0	SS_33_7__1	SS_33_7__2	SS_33_7__3	SS_33_7__4	SS_33_7__5	SS_33_7__6	SS_33_7__7	SS_33_7__8	SS_33_7__9	SS_41__1	SS_41__2	SS_41__3	SS_41__4	SS_41__5	SS_41__6	SS_41__7	SS_41__8	SS_41__9	SS_41__10	SS_41__11	SS_41__12	SS_41__13	SS_41_13__0	SS_41_13__1	SS_41_13__2	SS_41_13__3	SS_41_13__4	SS_41_13__5	SS_41_13__6	SS_41_13__7	SS_41_13__8	SS_41_13__9	SS_49__1	SS_49__2	SS_49__3	SS_49__4	SS_49__5	SS_49__6	SS_49__7	SS_49__8	SS_49__9	SS_49__10	SS_49__11	SS_49__12	SS_49__13	SS_49__14	SS_49__15	SS_49__16	SS_49__17	SS_49__18	SS_49__19	SS_49__20	SS_49__21	SS_49__22	SS_49__23	SS_49__24	SS_49__25	SS_49__26	SS_49__27	SS_49__28	SS_49__29	SS_49__30	SS_49__31	SS_49_30_1__0	SS_49_30_1__1	SS_49_30_1__2	SS_49_30_1__3	SS_49_30_1__4	SS_49_30_1__5	SS_49_30_1__6	SS_49_30_1__7	SS_49_30_1__8	SS_49_30_1__9	SS_57__1	SS_57__2	SS_65__1	SS_65__2	SS_65__3	SS_65__4	SS_65__5	SS_65__6	SS_65__7	SS_65__8	SS_65__9	SS_65__10	SS_65__11	SS_65__12	SS_65__13	SS_65__14	SS_65__15	SS_65__16	SS_65_15__0	SS_65_15__1	SS_65_15__2	SS_65_15__3	SS_65_15__4	SS_65_15__5	SS_65_15__6	SS_65_15__7	SS_65_15__8	SS_65_15__9	SS_65_16__0	SS_65_16__1	SS_65_16__2	SS_65_16__3	SS_65_16__4	SS_65_16__5	SS_65_16__6	SS_65_16__7	SS_65_16__8	SS_65_16__9	SS_Obs	OT_73	SS_73_3_1	SS_73_4_1	OT_OBS	OT_74	I_0_24_0	I_0_24_0_1	I_0_24_0_7_1	sssys_irnd	has__errors	interview__status	assignment__id
85-32-09-34	935a843900304769947d3a21c5babcad	2022-06-17T12:01:25	-999999999	Libertador Bernardo O´Higgins	-999999999	1	##N/A##	-999999999	1		1	1	1	-999999999																															##N/A##																																																																																																																																																																																																																																														1	6		0.696043815787902	0	100	6950
00-09-94-04	ea8dcda300894b7e952607caff852626	##N/A##	-999999999	Libertador Bernardo O´Higgins	-999999999	-999999999	##N/A##	-999999999																																					##N/A##																																																																																																																																																																																																																																														-999999999			0.5718167152124535	0	100	6950
