interview__key	interview__id	interview__status	responsible	interviewers	rejections__sup	rejections__hq	entities__errors	questions__comments	interview__duration	n_questions_unanswered
85-32-09-34	935a843900304769947d3a21c5babcad	100	ENT_mnunez	1	0	0	0	0	00.00:01:17	5
00-09-94-04	ea8dcda300894b7e952607caff852626	100	ENT_mnunez	1	0	0	0	0	00.00:00:09	7
